Contract,Test Limit,Mode,Node Difference,Edge Difference,Reduce Combinations
Auction,1000,epa,-1,-10,not_reduce_combinations
Auction,1000,epa,-1,-7,reduce_combinations
Crowdfunding,1000,epa,-1,-7,not_reduce_combinations
Crowdfunding,1000,epa,-1,-7,reduce_combinations
EPXCrowdsale,1000,epa,-3,-16,not_reduce_combinations
EPXCrowdsale,1000,epa,-1,-11,reduce_combinations
EscrowVault,1000,epa,-2,-11,not_reduce_combinations
EscrowVault,1000,epa,-1,-8,reduce_combinations
RefundEscrow,1000,epa,-2,-11,not_reduce_combinations
RefundEscrow,1000,epa,0,-7,reduce_combinations
RockPaperScissors,1000,epa,-3,-5,not_reduce_combinations
RockPaperScissors,1000,epa,-2,-4,reduce_combinations
SimpleAuction,1000,epa,-5,-23,not_reduce_combinations
SimpleAuction,1000,epa,-4,-22,reduce_combinations
RefundEscrowWithdraw,1000,epa,-5,-20,not_reduce_combinations
RefundEscrowWithdraw,1000,epa,-4,-17,reduce_combinations
EPXCrowdsaleIsCrowdsaleClosed,1000,epa,-4,-19,not_reduce_combinations
EPXCrowdsaleIsCrowdsaleClosed,1000,epa,-3,-16,reduce_combinations
CrowdfundingTime_Base,1000,epa,-2,-15,not_reduce_combinations
CrowdfundingTime_Base,1000,epa,0,-7,reduce_combinations
CrowdfundingTime_BaseBalance,1000,epa,-5,-31,not_reduce_combinations
CrowdfundingTime_BaseBalance,1000,epa,-3,-26,reduce_combinations
CrowdfundingTime_BaseBalanceFix,1000,epa,-3,-18,not_reduce_combinations
CrowdfundingTime_BaseBalanceFix,1000,epa,-3,-15,reduce_combinations
SimpleAuctionTime,1000,epa,-5,-29,not_reduce_combinations
SimpleAuctionTime,1000,epa,-6,-30,reduce_combinations
SimpleAuctionEnded,1000,epa,-5,-25,not_reduce_combinations
SimpleAuctionEnded,1000,epa,-5,-26,reduce_combinations
AuctionEnded,1000,epa,-1,-11,not_reduce_combinations
AuctionEnded,1000,epa,-1,-7,reduce_combinations
AuctionWithdraw,1000,epa,-3,-23,not_reduce_combinations
AuctionWithdraw,1000,epa,-3,-22,reduce_combinations
Auction,50000,epa,0,-4,not_reduce_combinations
Auction,50000,epa,-1,-7,reduce_combinations
Crowdfunding,50000,epa,-1,-7,not_reduce_combinations
Crowdfunding,50000,epa,-1,-5,reduce_combinations
EPXCrowdsale,50000,epa,-1,-11,not_reduce_combinations
EPXCrowdsale,50000,epa,-1,-9,reduce_combinations
EscrowVault,50000,epa,0,-2,not_reduce_combinations
EscrowVault,50000,epa,0,-1,reduce_combinations
RefundEscrow,50000,epa,-1,-5,not_reduce_combinations
RefundEscrow,50000,epa,0,-2,reduce_combinations
RockPaperScissors,50000,epa,-1,-3,not_reduce_combinations
RockPaperScissors,50000,epa,0,0,reduce_combinations
SimpleAuction,50000,epa,-3,-17,not_reduce_combinations
SimpleAuction,50000,epa,-3,-17,reduce_combinations
RefundEscrowWithdraw,50000,epa,-2,-13,not_reduce_combinations
RefundEscrowWithdraw,50000,epa,0,-8,reduce_combinations
EPXCrowdsaleIsCrowdsaleClosed,50000,epa,-2,-14,not_reduce_combinations
EPXCrowdsaleIsCrowdsaleClosed,50000,epa,-1,-8,reduce_combinations
CrowdfundingTime_Base,50000,epa,0,-7,not_reduce_combinations
CrowdfundingTime_Base,50000,epa,0,-2,reduce_combinations
CrowdfundingTime_BaseBalance,50000,epa,-2,-19,not_reduce_combinations
CrowdfundingTime_BaseBalance,50000,epa,-1,-12,reduce_combinations
CrowdfundingTime_BaseBalanceFix,50000,epa,-1,-9,not_reduce_combinations
CrowdfundingTime_BaseBalanceFix,50000,epa,0,0,reduce_combinations
SimpleAuctionTime,50000,epa,-4,-21,not_reduce_combinations
SimpleAuctionTime,50000,epa,-4,-21,reduce_combinations
SimpleAuctionEnded,50000,epa,-4,-19,not_reduce_combinations
SimpleAuctionEnded,50000,epa,-4,-20,reduce_combinations
AuctionEnded,50000,epa,-1,-7,not_reduce_combinations
AuctionEnded,50000,epa,-1,-7,reduce_combinations
AuctionWithdraw,50000,epa,-2,-21,not_reduce_combinations
AuctionWithdraw,50000,epa,-1,-8,reduce_combinations
Auction,500000,epa,0,-2,not_reduce_combinations
Auction,500000,epa,0,-2,reduce_combinations
Crowdfunding,500000,epa,0,-2,not_reduce_combinations
Crowdfunding,500000,epa,0,-1,reduce_combinations
EPXCrowdsale,500000,epa,-1,-9,not_reduce_combinations
EPXCrowdsale,500000,epa,-1,-8,reduce_combinations
EscrowVault,500000,epa,0,0,not_reduce_combinations
EscrowVault,500000,epa,0,0,reduce_combinations
RefundEscrow,500000,epa,0,-2,not_reduce_combinations
RefundEscrow,500000,epa,0,0,reduce_combinations
RockPaperScissors,500000,epa,0,0,not_reduce_combinations
RockPaperScissors,500000,epa,0,0,reduce_combinations
SimpleAuction,500000,epa,0,-4,not_reduce_combinations
SimpleAuction,500000,epa,0,-3,reduce_combinations
RefundEscrowWithdraw,500000,epa,0,-5,not_reduce_combinations
RefundEscrowWithdraw,500000,epa,0,-2,reduce_combinations
EPXCrowdsaleIsCrowdsaleClosed,500000,epa,-1,-8,not_reduce_combinations
EPXCrowdsaleIsCrowdsaleClosed,500000,epa,0,-3,reduce_combinations
